falling,4722.92,4019.64,-1600,13,79,317
sitting,4059.12,2191.03,-1146.08,20,54,165
sitting,4773.56,2787.99,-1263.38,46,67,224
cramps,8271.27,9545.98,-2848.93,26,138,554
cramps,7102.16,14148.8,-2381.15,85,120,809
running,7015.24,7336.79,-1699.8,22,95,427
falling,8620.28,24949.9,-3198.06,35,157,1519
falling,9238.73,39245.5,-2590,15,196,1885
standing,12276.4,59742,-5101,56,249,2826
cramps,14165.5,140950,-1410,82,315,5844
standing,7069.95,15336.6,-3000.09,81,133,847
running,10768.8,28521,-3732.37,61,214,1469
standing,10255.7,66668,-6050,97,207,3048
standing,6411.13,9698,-2686,59,104,652
cramps,8766.37,11524.1,-3270.78,44,156,654
falling,9764.47,51960.7,-2510,16,188,2599
falling,15208.6,90305.4,-2280,53,223,2059
standing,6628.08,6490.83,-1923.04,23,100,485
standing,7836.78,5545,-2661,41,126,371
standing,10787.8,103850,-4705,85,237,4804
standing,7347.39,13978,-3121,24,126,765
falling,15563.6,110121,-6380,38,322,4619
sitting,5091.81,4269.08,-1520,10,79,317
falling,3840,1433.37,-606.618,32,40,100
cramps,15435,144972,-5803.6,170,308,6057
sitting,13353.1,40216.5,-1760,43,234,1581
standing,18609.3,300553,-12391,73,464,10829
falling,12024.8,115245,-2020,47,235,4905
standing,23099.1,280276,-13215,264,465,8741
sitting,8334.2,9499.81,-2868.48,97,130,490
cramps,11983.7,46065.4,-5543.47,49,273,2061
cramps,18072.9,161030,-8830,91,388,6290
standing,13071.6,151812,-6450,66,284,6506
falling,19248.1,162489,-10600,88,388,6290
standing,19217.4,205811,-10695,61,390,6741
sitting,9714.1,33873.2,-2730,56,234,1581
cramps,4911.72,2837.21,-1207.83,47,67,224
falling,12894.8,60525,-4780,25,247,2754
falling,10721.5,38062.2,-4162.48,129,205,1751
cramps,10991.8,86042.1,-2960,18,220,3450
cramps,3736.8,1436.3,-634.175,33,40,100
standing,5993.3,4806,-1941,18,111,345
standing,20309.9,291719,-11688,242,487,10978
standing,12888.4,171016,-6821,63,299,7334
falling,7478.85,14147.7,-2295.22,90,120,809
standing,17083.7,94618,-8497,92,365,3633
running,9883.77,40847.4,-2722.39,60,159,2181
falling,5382.92,4179.02,-1499.3,122,88,318
cramps,9454.53,27663.8,-2981.07,101,158,1403
sitting,7325.19,9277.63,-3214.06,21,138,554
running,23999.8,456954,-12000,51,483,15505
running,10673,26600.5,-3313.23,28,174,1415
walking,11059.1,68879.1,-5251.84,148,247,3373
sitting,16312.6,115767,-4260,55,271,4426
falling,9434.08,38959,-4287.95,20,193,2118
cramps,9666.72,33029,-3402.85,87,176,1922
running,12626.8,72561.2,-5540.34,47,262,3211
falling,20368.8,193489,-4900,93,403,6746
sitting,17021.5,164814,-7371.08,65,352,6744
standing,12773,70843,-5725,29,210,2894
standing,5205.31,4188,-2124,15,88,318
falling,13768.3,50902.1,-4040,47,234,2464
standing,20676.4,244148,-6136,48,368,5025
sitting,23848.5,469672,-10800,59,483,15505
falling,9564.01,12121.7,-2630.01,92,136,619
sitting,20911.5,163006,-8730,93,449,5537
standing,6766.37,7326,-2343,57,108,517
standing,8754.11,27397,-4556,13,142,1255
cramps,10106.7,27928,-2735.9,76,158,1403
falling,17682.4,174076,6300,66,403,6746
running,13123.6,78485.7,-5040,63,272,3539
cramps,6910.78,4085.64,-2288.24,70,101,249
standing,10201.5,43306,-4973,33,199,2061
falling,14025.1,92585.3,-5580,50,254,3885
running,7976.18,7585.75,-1690,161,109,486
cramps,11176,18259.1,-3331.32,55,172,973
standing,8368.98,26567,-3618,28,165,1524
cramps,9784.19,36750.7,-3060,41,196,1997
standing,14703.1,93227,-5737,47,311,3802
falling,10996.9,87333.1,-2390,14,220,3450
cramps,5757.49,11120.1,-1915.98,21,102,764
falling,7511.6,14204.6,-2351.32,82,120,809
standing,11172.1,48737,-5984,176,233,2325
standing,8253.66,22740,-1810,23,138,1206
cramps,6796.84,14057.7,-1527.94,12,96,804
running,13128.5,59784.8,-3640,71,223,2822
falling,10445.5,84668.3,-2010,25,220,3450
falling,24511,474472,-10700,45,483,15505
running,9297.16,30430,-3162.94,116,171,1747
running,13011.9,70519.9,-5529.93,42,262,3211
sitting,6726.28,12062.3,-1807.84,8,105,765
cramps,2726.91,52.5799,-430,92,33,5
cramps,13432.5,60792.1,-5420,27,247,2754
standing,9756.25,38530,-2126,34,209,1524
standing,15547.5,67787,-6540,61,273,2129
cramps,13392.7,79963.8,-5160,48,272,3539
running,9282.91,29260.1,-3378.18,31,179,1626
standing,19176.5,299930,-10794,87,407,10820
standing,6363.31,9414,-2356,34,101,586
sitting,5398.82,4276.59,-717,10,79,317
running,12639.7,70542.2,-5318.65,70,262,3211
standing,8825.51,35892,-3519,40,175,1868
running,11741,52851.3,-4344.44,99,209,2534
falling,8936.12,28128.2,-2820.32,95,156,1521
cramps,5055.64,2870.85,-1199.41,47,67,224
walking,9020.21,17476.2,-4127.4,30,183,931
standing,8648.61,15678,-3176,77,125,889
running,6779.08,12811.6,-1540.87,31,96,804
falling,24235.6,275831,-12900,83,540,8870
cramps,14257,79237.5,-7189.59,58,320,3466
cramps,8067.24,9426.1,-2960.66,21,138,554
standing,5799.93,6030,-1152,12,80,316
standing,8087.84,23021,-2302,17,145,1357
cramps,9910,35151.4,-4456.41,129,208,1691
sitting,4208.38,2173.98,-1051.37,20,54,165
standing,7383.83,12007,-1608,26,145,768
cramps,9976.33,36430,-4388.08,117,208,1691
sitting,4209.06,2179.4,-1036.21,20,54,165
running,4513.02,4068.02,-1363.32,23,72,340
running,23288.5,279622,-9205.06,72,468,9276
falling,9464.38,10028.9,-1660,47,154,587
standing,5849.32,4670,-2029,46,95,344
running,7368.76,9526.94,-1150,26,102,516
sitting,3867.66,2203.3,-1034.09,21,54,165
cramps,9262.44,28718.5,-3305.19,35,179,1626
sitting,14189.6,59502.1,-6690.93,158,305,2610
